time,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,new_screening_rat,new_genre,new_num,distributor_group,year,month,box_off_num
96,0.0,0,91,2,3,10,76,2,2012,11,23398
130,1161602.5,2,387,3,3,2,38,2,2015,11,7072501
123,220775.25,4,343,4,1,10,38,2,2013,6,6959083
101,23894.0,2,20,6,2,11,36,2,2012,7,217866
108,1.0,1,251,2,1,11,4,0,2010,11,483387
113,837969.0,2,262,4,1,11,76,2,2012,10,233211
104,0.0,0,32,5,2,3,2,0,2013,5,53526
96,739522.0,3,342,2,3,10,38,2,2012,10,1110523
129,0.0,0,3,5,2,6,1,0,2014,9,4778
94,0.0,0,138,3,1,4,2,0,2012,3,868
89,0.0,0,0,4,3,5,19,1,2015,7,745
98,0.0,0,0,1,0,1,1,0,2015,7,1079
113,431231.0,1,14,2,0,4,15,1,2012,3,5851
107,534232.5,2,15,4,3,8,1,0,2013,9,23052
100,0.0,0,152,1,0,4,3,0,2012,11,92404
67,0.0,0,52,3,3,4,4,0,2014,9,39317
124,8223342.0,1,572,11,1,11,3,0,2011,5,7453715
98,773.0,1,8,4,2,4,1,0,2012,4,5693
104,0.0,0,359,4,0,4,8,1,2014,11,814570
115,0.0,0,74,9,3,4,7,1,2010,5,57029
117,495068.5,2,466,3,0,4,85,2,2014,9,1624573
90,0.0,0,228,1,3,4,7,1,2015,8,44074
91,0.0,0,0,1,1,1,2,0,2015,8,914
108,75740.0,1,288,3,3,4,76,2,2014,2,781516
106,0.0,0,153,3,3,4,12,1,2014,11,1176
116,0.0,0,183,3,3,4,1,0,2015,9,3094
89,0.0,0,40,10,1,1,37,2,2010,2,2807
89,0.0,0,0,4,3,5,19,1,2015,7,745
93,0.0,0,250,3,3,2,36,2,2010,3,160734
90,0.0,0,29,3,3,4,10,1,2013,8,3460
117,0.0,0,369,7,0,4,7,1,2011,3,73729
90,0.0,0,71,2,1,4,3,0,2011,7,521
85,0.0,0,10,8,2,9,85,2,2015,4,285084
88,0.0,0,9,2,1,5,37,2,2011,12,390
114,683213.333333333,3,324,2,0,5,85,2,2011,12,3009406
94,0.0,0,2,2,0,3,12,1,2015,6,4586
67,0.0,0,1,5,3,4,1,0,2014,7,2923
122,0.0,0,135,2,3,4,3,0,2014,5,10142
84,0.0,0,96,5,0,4,12,1,2014,9,2703
121,8052.5,2,315,2,1,5,12,1,2012,2,1726227
95,0.0,0,95,2,1,5,1,0,2010,3,9089
87,4598985.0,1,182,3,3,5,76,2,2013,4,38809
96,0.0,0,10,4,3,4,1,0,2010,4,742
90,0.0,0,100,4,3,5,8,1,2014,3,3772
119,0.0,0,471,4,3,2,85,2,2010,10,2723028
102,984.0,1,23,3,3,4,43,2,2013,5,1209
117,0.0,0,106,2,0,4,85,2,2010,1,27083
107,0.0,0,368,4,3,5,2,0,2015,12,321641
112,1159954.0,2,600,4,1,10,36,2,2014,11,1177435
80,0.0,0,44,3,2,9,5,1,2014,8,21939
87,695201.5,2,140,3,2,11,27,1,2014,10,72
112,583770.0,3,315,3,3,11,5,1,2015,1,151550
84,0.0,0,20,10,2,3,2,0,2010,7,15687
107,0.0,0,9,11,2,3,1,0,2015,8,35857
72,427.0,2,107,2,3,4,43,2,2014,10,112
120,75740.0,1,279,2,1,4,38,2,2012,1,986287
103,0.0,0,125,8,1,11,3,0,2015,5,2410
69,0.0,0,1,4,3,5,19,1,2015,4,514
114,0.0,0,290,5,3,1,11,1,2010,7,1012310
124,372863.0,2,319,3,3,2,76,2,2013,11,2971475
109,495535.0,1,292,8,2,4,8,1,2014,12,306642
97,874146.666666667,3,67,4,1,5,1,0,2013,11,484
127,0.0,0,24,3,0,4,1,0,2012,5,432
115,1012310.0,1,372,5,1,4,76,2,2012,9,1310895
74,0.0,0,5,3,3,4,19,1,2014,7,1697
109,385977.5,2,519,3,0,4,85,2,2015,11,317505
123,39555.0,1,68,3,1,4,38,2,2011,9,2393103
106,1502930.25,4,341,2,1,4,36,2,2015,11,654407
72,427.0,2,80,2,3,4,27,1,2015,1,148
100,115412.66666666699,3,132,2,3,5,3,0,2015,11,4746
97,742.0,1,59,4,3,5,43,2,2013,5,488
118,20196.0,2,130,2,0,5,43,2,2013,11,20303
112,0.0,0,110,5,3,5,2,0,2011,11,8757
104,6053.0,1,17,4,1,7,43,2,2012,9,1637
119,0.0,0,509,2,3,10,85,2,2010,8,6178665
93,0.0,0,0,1,2,6,27,1,2013,10,8083
112,5849451.0,3,310,2,1,5,76,2,2011,3,402876
96,1715370.0,1,108,2,3,1,3,0,2015,4,11650
102,674787.666666667,3,309,6,1,11,76,2,2014,12,210775
124,809.0,1,12,2,1,4,12,1,2014,2,236
116,0.0,0,19,25,1,4,19,1,2010,2,2821
106,1205200.25,4,344,2,3,1,76,2,2010,10,1208310
115,0.0,0,204,2,1,4,1,0,2011,2,849635
91,0.0,0,74,4,0,4,37,2,2010,11,2775
123,0.0,0,174,7,3,1,85,2,2013,11,731212
82,0.0,0,15,2,1,3,2,0,2012,2,2296
120,1178641.33333333,3,264,2,1,4,36,2,2012,12,2475797
100,0.0,0,0,6,3,5,4,0,2014,9,2070
83,332.0,1,0,3,3,7,1,0,2014,8,4122
98,7763.0,1,72,2,3,4,1,0,2015,10,5212
132,1322801.0,4,379,4,3,4,12,1,2014,5,1441990
124,1163526.33333333,3,546,4,1,10,85,2,2010,9,1546132
106,0.0,0,155,4,1,11,12,1,2012,6,51120
90,0.0,0,12,3,3,1,1,0,2014,3,310
97,922680.0,1,29,2,0,4,2,0,2013,8,1040
69,0.0,0,17,2,1,4,14,1,2013,7,651
98,0.0,0,65,3,1,10,9,1,2013,11,17341
100,0.0,0,136,4,3,9,12,1,2013,11,22525
86,321.0,1,167,4,1,7,76,2,2012,7,426706
112,0.0,0,138,1,1,4,43,2,2014,2,424778
135,2636385.0,1,365,3,1,10,12,1,2012,11,2963652
139,1242778.0,2,298,6,1,4,38,2,2013,9,9135806
93,0.0,0,21,2,1,3,37,2,2013,4,2344
105,2043525.6,5,360,6,1,1,4,0,2015,8,120806
121,89858.0,1,95,2,3,4,36,2,2011,6,714136
101,0.0,0,350,3,3,1,76,2,2014,10,133665
102,2800018.5,2,216,3,3,4,1,0,2014,11,14780
118,0.0,0,6,0,1,3,10,1,2012,7,652
98,10393.5,2,4,10,1,3,10,1,2012,4,2119
94,0.0,0,41,2,0,4,7,1,2010,1,353
110,1322196.0,1,391,5,1,11,85,2,2012,5,1346754
148,0.0,0,61,6,2,4,7,1,2010,5,485
133,719587.0,1,308,2,3,2,38,2,2012,2,4720050
94,817317.666666667,3,96,5,1,5,15,1,2012,3,1501
120,20.0,1,262,2,1,7,76,2,2014,5,3199
79,0.0,0,55,5,3,4,12,1,2011,9,46212
118,1702621.66666667,3,397,4,1,5,85,2,2015,1,1892125
82,0.0,0,1,4,2,3,1,0,2014,11,42337
103,7855474.0,1,31,5,0,11,1,0,2010,12,2541603
90,0.0,0,268,2,1,1,2,0,2014,7,481707
98,0.0,0,13,2,0,4,13,1,2013,3,2186
81,467697.0,1,34,5,3,4,43,2,2013,9,831
127,0.0,0,311,5,1,4,36,2,2013,12,11374879
112,1595962.33333333,3,295,5,0,4,5,1,2014,11,172652
135,201.0,1,650,5,1,4,76,2,2014,4,3849696
90,0.0,0,0,6,2,3,3,0,2010,12,1253
91,0.0,0,1,2,2,3,43,2,2010,9,444327
105,0.0,0,50,5,3,4,15,1,2011,7,677
115,0.0,0,335,3,0,11,4,0,2011,1,4786259
92,0.0,0,88,4,3,1,1,0,2011,8,96992
80,0.0,0,5,10,2,9,8,1,2015,7,56105
104,0.0,0,119,2,3,4,36,2,2012,9,603283
127,604486.0,5,459,2,1,4,76,2,2014,10,386074
121,0.0,0,92,4,3,4,85,2,2011,3,74
103,331574.5,2,6,3,0,4,85,2,2013,6,18343
110,703507.0,1,238,7,0,11,11,1,2010,9,972431
90,0.0,0,47,4,0,3,37,2,2014,4,4343
92,0.0,0,252,2,3,1,76,2,2010,8,130784
108,4074.0,2,244,3,0,4,7,1,2014,11,24020
133,2266504.33333333,3,238,11,1,10,38,2,2011,7,2945151
106,752976.0,2,243,2,2,4,76,2,2013,5,334323
84,0.0,0,6,3,3,2,12,1,2014,1,3996
114,1648547.0,3,485,3,0,4,11,1,2011,11,74261
89,146455.666666667,3,106,1,0,4,7,1,2014,4,12950
101,10692.6666666667,3,29,5,3,5,1,0,2015,1,13240
96,0.0,0,82,5,3,9,14,1,2011,11,19896
104,0.0,0,351,3,1,4,76,2,2011,9,700272
101,0.0,0,111,5,1,4,43,2,2011,3,335
102,17341.0,1,208,10,1,1,7,1,2015,3,251551
109,0.0,0,118,4,1,4,43,2,2014,11,2386
120,0.0,0,60,4,3,11,4,0,2011,11,90370
85,59648.5,2,1,2,2,3,3,0,2010,10,1298
84,176079.5,2,56,4,3,4,1,0,2014,5,228
114,0.0,0,136,7,1,5,3,0,2010,5,408
82,0.0,0,17,5,2,3,43,2,2013,7,1581
94,0.0,0,17,2,1,11,43,2,2012,6,1575
106,1764377.33333333,3,261,2,0,4,4,0,2014,10,1169546
133,819049.5,2,92,4,0,4,38,2,2011,9,535657
100,0.0,0,4,4,0,6,12,1,2011,6,3089
82,846903.0,1,1,2,3,5,1,0,2015,11,961
88,45442.0,1,136,5,0,4,15,1,2010,10,7908
118,1604439.0,1,260,6,1,11,76,2,2012,6,497880
97,122238.33333333301,3,51,3,0,4,8,1,2015,11,380
99,0.0,0,2,6,2,3,1,0,2012,5,163
121,39317.0,1,16,2,3,4,36,2,2015,9,80734
84,0.0,0,34,3,0,0,1,0,2015,8,429
112,3640579.0,2,59,5,1,0,3,0,2011,8,2242510
75,0.0,0,11,0,2,3,10,1,2013,3,10942
66,0.0,0,13,0,2,3,27,1,2015,3,65
132,0.0,0,423,5,1,2,76,2,2011,2,1867849
104,1047.0,1,239,2,3,5,2,0,2010,4,51760
107,322708.5,2,6,2,1,7,1,0,2015,11,948
114,0.0,0,53,5,3,4,12,1,2015,11,1295
75,0.0,0,0,2,2,3,15,1,2011,5,9438
119,809760.8,5,372,5,1,5,76,2,2015,4,472695
75,1681556.0,2,26,4,3,2,13,1,2011,12,809
91,38.5,2,83,3,1,4,7,1,2010,9,933
94,0.0,0,55,2,3,1,1,0,2012,8,42
125,0.0,0,456,3,0,11,38,2,2015,2,3872015
103,44448.5,2,151,3,3,10,12,1,2013,10,192347
105,0.0,0,326,2,1,11,1,0,2010,5,688639
118,661220.5,2,224,9,1,5,5,1,2013,11,1214839
111,2270048.5,2,306,3,1,10,3,0,2011,2,43947
84,574101.0,2,307,5,1,1,12,1,2010,7,857038
109,0.0,0,358,2,0,4,3,0,2010,9,167024
78,0.0,0,2,6,0,9,37,2,2012,7,13429
88,17.0,1,214,4,3,5,76,2,2010,10,94875
65,0.0,0,30,2,3,4,37,2,2013,5,2270
83,0.0,0,151,2,3,10,27,1,2015,7,257
107,771699.0,1,129,3,1,4,1,0,2013,7,16866
100,0.0,0,207,4,1,4,36,2,2012,1,3460212
74,0.0,0,0,4,2,9,10,1,2015,11,7408
117,0.0,0,270,2,1,5,2,0,2014,10,316955
74,1556.0,1,0,2,3,5,1,0,2014,4,54
62,0.0,0,3,2,0,4,4,0,2015,10,152
75,0.0,0,200,6,2,9,76,2,2014,12,25391
88,0.0,0,48,8,3,11,3,0,2014,10,2595
104,0.0,0,227,4,1,3,5,1,2014,3,36535
104,35348.0,1,126,3,3,2,13,1,2014,8,1124
95,0.0,0,65,3,0,4,1,0,2010,5,90
93,0.0,0,282,3,0,4,7,1,2015,10,100543
135,1949111.0,4,719,3,3,10,38,2,2015,1,2192276
102,7.0,1,112,5,1,4,37,2,2013,11,4941
93,891.0,1,43,8,1,3,12,1,2014,7,6389
77,0.0,0,35,1,1,3,13,1,2014,10,50308
98,0.0,0,5,6,2,9,2,0,2011,6,53235
120,1029415.66666667,3,71,6,0,4,1,0,2014,2,497994
90,0.0,0,18,7,0,3,3,0,2010,1,791
106,285381.0,1,302,4,3,1,5,1,2010,5,2267579
163,0.0,0,353,8,3,4,7,1,2010,7,3350311
103,401997.0,2,111,2,3,1,37,2,2015,7,1536
97,0.0,0,7,3,2,4,37,2,2015,6,36841
95,0.0,0,7,3,2,3,10,1,2010,9,2418
91,358299.0,1,92,3,0,0,4,0,2015,3,4449
114,8801639.0,2,500,3,1,0,36,2,2010,11,2130645
84,0.0,0,44,3,3,5,3,0,2015,8,808
89,0.0,0,6,2,0,3,10,1,2013,1,1240
96,462623.0,1,156,4,3,1,12,1,2015,9,257996
112,1259177.75,4,310,5,1,4,85,2,2013,5,1141222
131,846582.0,2,343,2,1,4,85,2,2013,12,1854711
127,473852.33333333296,3,307,5,1,10,4,0,2013,4,1422844
90,0.0,0,7,5,0,11,12,1,2011,8,1356
98,0.0,0,17,3,0,4,43,2,2011,9,1198
84,0.0,0,109,4,1,4,13,1,2014,11,3789
98,4611.0,1,11,4,1,4,12,1,2013,12,5105
100,0.0,0,38,6,3,4,10,1,2013,3,294
107,37518.0,1,318,3,1,2,1,0,2010,3,1214237
75,0.0,0,3,2,2,3,12,1,2010,9,893
94,0.0,0,54,1,0,3,2,0,2010,1,155281
100,0.0,0,124,2,3,4,3,0,2015,6,419
115,2077590.0,1,428,2,1,11,3,0,2010,11,596864
85,495068.5,2,173,14,0,4,7,1,2013,2,5317
75,430920.5,2,6,2,3,0,37,2,2011,8,1089
99,0.0,0,40,3,3,4,1,0,2015,12,339
107,0.0,0,14,3,3,1,2,0,2013,8,1426
79,0.0,0,18,6,2,3,1,0,2013,4,1806
72,0.0,0,3,7,2,3,15,1,2011,12,179
91,0.0,0,57,3,3,5,3,0,2014,8,2146
82,2914.0,1,0,4,1,3,1,0,2012,10,1526
101,0.0,0,58,5,3,2,1,0,2015,3,1504
90,0.0,0,34,4,1,4,37,2,2014,3,842
85,11871.0,1,1,3,2,3,27,1,2014,8,11263
101,0.0,0,37,4,2,3,12,1,2010,12,4746
102,0.0,0,41,7,3,3,37,2,2014,12,2788
118,1552541.0,2,304,4,1,4,36,2,2011,2,1649407
80,9438.0,1,2,5,2,3,76,2,2015,9,8567
96,0.0,0,4,14,2,3,37,2,2013,12,2178
77,399.0,2,17,1,2,3,14,1,2014,1,2951
89,0.0,0,5,2,3,10,37,2,2012,7,1002
127,0.0,0,74,4,3,4,1,0,2015,2,831
67,0.0,0,18,3,3,5,1,0,2014,5,7448
86,50699.0,1,89,3,3,4,1,0,2014,5,1831
120,1013172.0,2,402,7,0,4,76,2,2012,8,790181
96,348084.0,3,2,2,0,3,1,0,2012,4,1556
111,0.0,0,253,6,1,10,76,2,2011,11,1118258
87,227304.0,1,125,4,2,3,7,1,2014,11,21002
80,0.0,0,15,2,2,3,10,1,2013,4,712
140,0.0,0,29,2,1,4,14,1,2013,9,5992
95,5741.0,2,97,4,3,4,12,1,2013,4,169064
112,1174495.0,1,183,3,3,4,9,1,2014,4,225839
89,0.0,0,1,5,3,5,27,1,2013,8,599
111,1799447.0,1,333,2,3,5,11,1,2010,3,164252
82,0.0,0,23,4,0,4,4,0,2015,12,329
72,988.0,1,20,4,3,5,19,1,2015,9,397
83,0.0,0,2,9,2,9,76,2,2011,3,35578
95,187048.0,2,19,2,3,4,27,1,2015,5,916
75,0.0,0,20,3,2,3,13,1,2014,6,241
86,5105.0,1,3,2,2,3,7,1,2014,11,4802169
110,151105.0,1,215,5,3,2,76,2,2013,2,225618
117,0.0,0,207,2,3,8,12,1,2014,4,142170
114,0.0,0,292,4,3,5,11,1,2010,10,75740
85,0.0,0,1,1,2,3,12,1,2013,11,15530
104,57943.0,1,63,8,3,4,1,0,2015,11,9566
121,0.0,0,273,13,1,11,7,1,2010,9,573001
92,0.0,0,7,3,0,3,13,1,2014,3,5808
104,0.0,0,0,6,2,4,1,0,2011,4,678
65,0.0,0,17,2,1,4,15,1,2011,10,256
89,0.0,0,12,3,3,7,27,1,2013,7,813
121,72.5,2,458,3,1,4,1,0,2013,8,3117859
80,0.0,0,48,3,3,11,5,1,2014,8,2117
80,0.0,0,16,4,2,3,14,1,2015,4,5648
87,0.0,0,100,2,3,5,2,0,2015,3,17444
102,0.0,0,143,2,3,4,9,1,2014,4,3333
97,0.0,0,0,2,3,4,1,0,2015,11,588
90,0.0,0,16,3,3,4,4,0,2011,9,446
92,695201.5,2,103,3,3,7,27,1,2015,12,1414
91,736729.5,2,9,4,1,4,37,2,2012,1,3223
120,2723028.0,1,433,2,1,4,36,2,2014,1,1980050
121,2849087.5,4,126,3,0,4,3,0,2012,12,5181014
75,30751.5,2,3,5,0,3,2,0,2013,3,11666
92,0.0,0,0,1,2,3,13,1,2011,10,39916
87,0.0,0,178,4,3,4,13,1,2010,12,5322
102,1112957.66666667,3,273,2,1,4,2,0,2015,1,387408
119,0.0,0,105,2,3,4,8,1,2014,4,385
91,0.0,0,90,4,3,4,1,0,2010,11,162
85,0.0,0,50,2,0,5,43,2,2012,8,557
103,0.0,0,21,2,3,4,37,2,2013,8,1759
117,1158640.0,2,342,8,0,5,76,2,2010,9,2684798
